trade_date,underlying_code,direction,entry_time,contract_id,dte,delta,iv_rank_252,implied_volatility,signal_strength,position_pct,entry_mid,entry_fill,exit_reason,exit_legs,exit_fills,contracts,premium,fee,gross_pnl,net_pnl,return_on_premium,daily_pnl_after,capital_before,capital_after,skipped,skip_reason
2026-01-06,588000,call,2026-01-06 09:40:00,588000C2601M01500,22,0.542,0.1821460775473399,0.301,normal,0.325,0.0465,0.0466,tp1_eod,0.5@0.062775;0.5@0.047900,114@0.062675;114@0.047800,228,106248.0,912.0,19693.5,18781.5,0.17677038626609443,18781.5,327803.6599999999,346585.1599999999,False,
2026-01-08,588000,call,2026-01-08 09:46:00,588000C2601M01550,20,0.454,0.1848512173128945,0.305,strong_position_scaled,0.5,0.0388,0.038900000000000004,trail_20%,0.333333@0.058200;0.666667@0.047280,148@0.058100;297@0.047180,445,173105.0,1780.0,53007.600000000006,51227.600000000006,0.2959336818693857,51227.600000000006,346585.1599999999,397812.7599999999,False,
2026-01-21,588000,call,2026-01-21 09:46:00,588000C2602M01600,35,0.577,0.1596032461677186,0.271,strong_position_scaled,0.5,0.062,0.0621,eod,1.0@0.064400,320@0.064300,320,198720.0,1280.0,7040.0,5760.0,0.028985507246376812,5760.0,397812.7599999999,403572.7599999999,False,
2026-03-03,588000,put,2026-03-03 10:00:00,588000P2603M01500,22,-0.602,0.1839495040577096,0.31,strong_cluster_position_scaled_cluster_acceleration_exemption,0.25,0.0373,0.0374,tp1_eod,0.333333@0.055950;0.666667@0.065500,90@0.055850;179@0.065400,269,100606.00000000001,1076.0,66724.99999999999,65648.99999999999,0.6525356340576106,65648.99999999999,403572.7599999999,469221.7599999999,False,
2026-03-09,588000,put,2026-03-09 09:46:00,588000P2603M01450,16,-0.411,0.1253381424706943,0.283,strong_daily_volume_reduced_position_scaled,0.35,0.0479,0.048,soft_stop,1.0@0.039278,342@0.039178,342,164160.0,1368.0,-30171.23999999999,-31539.23999999999,-0.19212499999999993,-31539.23999999999,469221.7599999999,437682.5199999999,False,
2026-03-19,588000,put,2026-03-19 13:30:00,588000P2604M01400,34,-0.437,0.193868349864743,0.317,strong_position_scaled,0.5,0.0488,0.048900000000000006,eod,1.0@0.048000,447@0.047900,447,218583.00000000003,1788.0,-4470.000000000029,-6258.000000000029,-0.028629856850715875,-6258.000000000029,437682.5199999999,431424.5199999999,False,
2026-03-23,588000,put,2026-03-23 13:15:00,588000P2604M01350,30,-0.521,0.3715058611361587,0.416,strong_reduced_position_scaled,0.375,0.0615,0.0616,eod,1.0@0.078300,262@0.078200,262,161392.0,1048.0,43492.0,42444.0,0.262987012987013,42444.0,431424.5199999999,473868.5199999999,False,
2026-04-22,588000,call,2026-04-22 09:43:00,588000C2605M01550,35,0.464,0.1932773109243697,0.264,normal,0.5,0.03439,0.03449,eod,1.0@0.040900,686@0.040800,686,236601.4,2744.0,43286.600000000006,40542.600000000006,0.17135401565671213,40542.600000000006,473868.5199999999,514411.1199999999,False,
2026-04-30,588000,call,2026-04-30 09:40:00,588000C2605M01650,27,0.539,0.2665066026410564,0.285,normal,0.325,0.0346,0.0347,tp1_eod,0.5@0.046710;0.5@0.055900,240@0.046610;241@0.055800,481,166907.0,1924.0,79435.0,77511.0,0.4643963404770321,77511.0,514411.1199999999,591922.1199999999,False,
2026-05-06,588000,call,2026-05-06 09:46:00,588000C2605M01750,21,0.508,0.4345738295318127,0.342,strong_reduced_position_scaled,0.375,0.0818,0.0819,trail_20%,0.333333@0.122700;0.666667@0.101440,90@0.122600;181@0.101340,271,221949.0,1084.0,71816.40000000002,70732.40000000002,0.318687626436704,70732.40000000002,591922.1199999999,662654.5199999999,False,
2026-05-20,588000,call,2026-05-20 09:41:00,588000C2606M01950,35,0.495,0.5918367346938775,0.344,normal,0.5,0.065905,0.06600500000000001,eod,1.0@0.076800,501@0.076700,501,330685.05000000005,2004.0,53581.949999999895,51577.949999999895,0.15597303234603405,51577.949999999895,662654.5199999999,714232.4699999997,False,
2026-05-25,588000,call,2026-05-25 09:43:00,588000C2606M02000,30,0.526,0.6434573829531813,0.368,normal,0.5,0.058685,0.058785000000000004,tp1_eod,0.5@0.079225;0.5@0.085200,304@0.079125;303@0.085100,607,356824.95,2428.0,141568.05,139140.05,0.38993924051555245,139140.05,714232.4699999997,853372.5199999998,False,
