trade_date,underlying_code,direction,entry_time,contract_id,strategy_source,dual_signal_date,position_pct_standalone,position_pct,exit_reason,contracts,entry_fill,premium,fee,gross_pnl,net_pnl,return_on_premium,exit_fills,capital_before_day,day_net_pnl,capital_after_day
2026-01-06,588000,call,2026-01-06 09:40:00,588000C2601M01500,588000_v1.1,False,0.325,0.325,tp1_eod,184,0.0466,85744.0,736.0,15893.0,15157.0,0.17677038626609443,92@0.062675;92@0.047800,265199.65,15157.0,280356.65
2026-01-08,588000,call,2026-01-08 09:46:00,588000C2601M01550,588000_v1.1,False,0.5,0.5,trail_20%,360,0.038900000000000004,140040.0,1440.0,42912.0,41472.0,0.2961439588688946,120@0.058100;240@0.047180,280356.65,41472.0,321828.65
2026-01-15,159915,call,2026-01-15 09:40:00,159915C2601M003400,159915_v1.1,False,0.325,0.325,opening_confirm_fail,216,0.048400000000000006,104544.00000000001,864.0,1511.999999999971,647.9999999999709,0.006198347107437737,216@0.049100,321828.65,647.9999999999709,322476.65
2026-01-21,588000,call,2026-01-21 09:46:00,588000C2602M01600,588000_v1.1,False,0.5,0.5,eod,259,0.0621,160839.0,1036.0,5698.0,4662.0,0.028985507246376812,259@0.064300,322476.65,4662.0,327138.65
2026-03-09,588000,put,2026-03-09 09:46:00,588000P2603M01450,588000_v1.1,False,0.35,0.35,soft_stop,238,0.048,114240.0,952.0,-20996.360000000015,-21948.360000000015,-0.19212500000000013,238@0.039178,327138.65,-21948.360000000015,305190.29000000004
2026-03-19,588000,put,2026-03-19 13:30:00,588000P2604M01400,588000_v1.1,False,0.5,0.5,eod,312,0.048900000000000006,152568.00000000003,1248.0,-3120.000000000029,-4368.000000000029,-0.02862985685071593,312@0.047900,305190.29000000004,-4368.000000000029,300822.29000000004
2026-03-23,588000,put,2026-03-23 13:15:00,588000P2604M01350,588000_v1.1,False,0.375,0.375,eod,183,0.0616,112728.0,732.0,30378.0,29646.0,0.262987012987013,183@0.078200,300822.29000000004,29646.0,330468.29000000004
2026-04-22,588000,call,2026-04-22 09:43:00,588000C2605M01550,588000_v1.1,True,0.5,0.5,eod,479,0.03449,165207.1,1916.0,30224.899999999994,28308.899999999994,0.17135401565671204,479@0.040800,330468.29000000004,28308.899999999994,358777.19000000006
2026-04-28,588000,call,2026-04-28 09:40:00,588000C2605M01600,588000_v1.1,False,0.325,0.325,soft_stop,233,0.05,116500.0,932.0,-29532.750000000015,-30464.750000000015,-0.2615000000000001,233@0.037325,358777.19000000006,-30464.750000000015,328312.44000000006
2026-04-30,588000,call,2026-04-30 09:40:00,588000C2605M01650,588000_v1.1,False,0.325,0.325,tp2,307,0.0347,106529.0,1228.0,60385.79999999999,59157.79999999999,0.5553210862769761,154@0.046610;153@0.062180,328312.44000000006,59157.79999999999,387470.24000000005
2026-05-06,588000,call,2026-05-06 09:46:00,588000C2605M01750,588000_v1.1,False,0.375,0.375,trail_20%,177,0.0819,144963.0,708.0,46952.20000000001,46244.20000000001,0.3190069190069191,59@0.122600;118@0.101340,387470.24000000005,46244.20000000001,433714.44000000006
2026-05-20,588000,call,2026-05-20 09:41:00,588000C2606M01950,588000_v1.1,False,0.5,0.5,eod,328,0.06600500000000001,216496.40000000002,1312.0,35079.59999999992,33767.59999999992,0.155973032346034,328@0.076700,433714.44000000006,33767.59999999992,467482.04
2026-05-25,588000,call,2026-05-25 09:43:00,588000C2606M02000,588000_v1.1,False,0.5,0.5,tp1_eod,397,0.058785000000000004,233376.45,1588.0,92640.04999999999,91052.04999999999,0.39015097710158836,198@0.079125;199@0.085100,467482.04,91052.04999999999,558534.09
