trade_date,underlying_code,direction,entry_time,etf_close,etf_volume_15m,market_iv,iv_rank_252,etf_volume_ratio,signal_strength,position_pct,daily_direction,daily_allowed_direction,daily_ref_date,daily_ref_close,daily_ref_ma5,daily_ref_ma10,daily_ref_ma20,daily_ref_ma5_slope,daily_ref_ma10_slope,daily_ref_ma20_slope,daily_ref_ma_cluster,daily_ref_volume_ratio20,option_code,contract_id,contract_symbol,entry_price,first_entry_price,first_position_pct,add_time,add_price,add_position_pct,opening_confirm_pass,opening_high,opening_low,opening_amp,breakout_time,breakout_volume,breakout_vol_ratio,stand_count,entry_option_volume_15m,cum_volume,option_trend_strength,dte,delta,implied_volatility,edge_dte_candidate,dte_position_factor,exit_time,exit_price_1,exit_price_2,return,exit_reason,exit_legs,tp1_time,high_water,strategy_leg,signal_time,etf_intraday_volume_progress_ratio,fallback_progress_min,late_trend_acceleration,strong_volume_min,high_iv_crash_put,etf_vol_threshold,etf_close_pos,risk_flags,daily_ref_upper_shadow_ratio,daily_ref_lower_shadow_ratio,signal_option_price,entry_price_source,high_iv_crash_put_candidate,selection_score,selection_liquidity_score,selection_delta_score,selection_trend_score,selection_dte_score,selection_iv_score,trailing_stop,strategy_source,position_pct_standalone,opening_strength_score,fallback_strength_score,dual_signal_date,selection_rule
2025-09-19,159915,call,2025-09-19 09:40:00,3.088,318269.0,0.4111999999999999,0.3685516752348873,1.6012761144618926,normal,0.325,call,call,2025-09-18,3.067,3.0554,2.9874,2.8876,0.0083999999999999,0.0316,0.0247499999999996,0.0547114444082165,1.1290203551991531,90006227,159915C2510M003100,创业板ETF购10月3100,0.1348,0.1348,0.325,,,0.0,False,3.078,3.065,0.0042414355628058,2025-09-19 09:36:00,318269.0,1.6012761144618926,2.0,2438.0,2438.0,0.0391737305571557,33,0.484,0.3644420101050343,False,1.0,2025-09-19 09:45:00,0.1282,0.1282,-0.0489614243323441,opening_confirm_fail,1.0@0.128200,,,opening_primary,,,,,,,,,,,,,,,,,,,,,,159915_v1.1,0.325,2.173347026480052,,False,single_signal
2025-09-24,588000,call,2025-09-24 09:42:00,1.487,724222.0,0.4529999999999999,0.134156378600823,2.1107587133914567,strong,0.7,call,call,2025-09-23,1.475,1.455,1.4229999999999998,1.39225,0.0098,0.0167999999999999,0.0069499999999997,0.0425423728813559,0.9185347439463332,10009951,588000C2510M01550,科创50购10月1550,0.047475,0.048,0.4549999999999999,2025-09-24 09:45:00,0.0465,0.245,True,1.475,1.464,0.0075136612021858,2025-09-24 09:39:00,724222.0,2.1107587133914567,3.0,4577.0,4577.0,0.1067961165048543,28,0.482,0.39,False,1.0,2025-09-24 14:55:00,0.0576,0.0576,0.2132701421800946,eod,1.0@0.057600,,0.0699,opening_primary,,,,,,,,,,,,,,,,,,,,,,588000_v1.1,0.7,4.066545090252565,,False,single_signal
2025-10-09,588000,call,2025-10-09 09:40:00,1.61,705926.0,0.416,0.1138545953360768,1.3590234950894835,normal_daily_volume_reduced,0.35,call,call,2025-09-30,1.57,1.543,1.499,1.42765,0.0189999999999999,0.0144000000000001,0.0088000000000001,0.0734713375796177,0.7872329618164856,10009985,588000C2510M01600,科创50购10月1600,0.062095,0.0615,0.2274999999999999,2025-10-09 09:45:00,0.0632,0.1225,True,1.608,1.597,0.0068879148403256,2025-10-09 09:35:00,705926.0,1.3590234950894835,2.0,15191.0,15191.0,0.002257336343115,13,0.581,0.385,False,1.0,2025-10-09 14:55:00,0.08382825,0.0559,0.1251167565826555,tp1_eod,0.5@0.083828;0.5@0.055900,2025-10-09 10:28:00,,opening_primary,,,,,,,,,,,,,,,,,,,,,,588000_v1.1,0.35,2.4002148974815434,,False,single_signal
2025-12-24,159915,call,2025-12-24 09:43:00,3.2,151316.0,0.2627,0.1570182394924663,1.789768762197646,normal,0.325,call,call,2025-12-23,3.185,3.1446,3.1414999999999997,3.1066,0.0250000000000003,-0.0003000000000006,0.0111999999999996,0.0119309262166405,0.8744538267397998,90006660,159915C2601M003300,创业板ETF购1月3300,0.0467,0.0467,0.325,,,0.0,True,3.194,3.178,0.0050346129641283,2025-12-24 09:40:00,151316.0,1.789768762197646,3.0,7256.0,7256.0,0.0810878871820699,35,0.37,0.2155628349321549,False,1.0,2025-12-24 14:55:00,0.0533,0.0533,0.1413276231263383,eod,1.0@0.053300,,,opening_primary,,,,,,,,,,,,,,,,,,,,,,159915_v1.1,0.325,2.883453764144681,,False,single_signal
2026-01-06,588000,call,2026-01-06 09:40:00,1.493,770147.0,0.3095,0.1821460775473399,1.6655291327623174,normal,0.325,call,call,2026-01-05,1.479,1.433,1.4205,1.409,0.0114,0.0102999999999999,0.00425,0.0162271805273833,1.6745404774719486,10010501,588000C2601M01500,科创50购1月1500,0.0465,0.0465,0.325,,,0.0,True,1.484,1.476,0.005420054200542,2026-01-06 09:37:00,770147.0,1.6655291327623174,3.0,19751.0,19751.0,0.0877993158494867,22,0.542,0.301,False,1.0,2026-01-06 14:55:00,0.062775,0.0479,0.1900537634408601,tp1_eod,0.5@0.062775;0.5@0.047900,2026-01-06 09:53:00,,opening_primary,,,,,,,,,,,,,,,,,,,,,,588000_v1.1,0.325,2.3146815826034546,,False,single_signal
2026-01-08,588000,call,2026-01-08 09:46:00,1.536,6692897.0,0.311,0.1848512173128945,3.9690744270135103,strong_position_scaled,0.5,call,call,2026-01-07,1.52,1.4708,1.4445,1.41955,0.0205999999999999,0.0115,0.0050000000000001,0.033717105263158,1.3565716402724008,10010502,588000C2601M01550,科创50购1月1550,0.0388,,,,,,,,,,,,,,28580.0,28615.0,0.2581840642371835,20,0.454,0.305,,,2026-01-08 10:31:00,0.0582,0.04728,0.3123711340206186,trail_20%,0.333333@0.058200;0.666667@0.047280,2026-01-08 10:02:00,0.0591,strong_15m_fallback,2026-01-08 09:45:00,1.5983187042811398,1.15,True,1.8,False,1.2,0.7857142857142857,position_2.5x,0.3199999999999985,0.5599999999999975,0.0388,next_minute_open,False,0.8849191807508029,0.903964618543674,0.6933333333333334,1.0,1.0,1.0,0.04728,588000_v1.1,0.5,,3.4650649759641756,False,single_signal
2026-01-15,159915,call,2026-01-15 09:40:00,3.334,304514.0,0.2868,0.2207242928892414,1.5734083987727463,normal,0.325,call,call,2026-01-14,3.332,3.322,3.2920000000000003,3.2283999999999997,0.0042000000000004,0.0127000000000001,0.0106000000000001,0.0280912364945979,2.179649435901413,90006661,159915C2601M003400,创业板ETF购1月3400,0.0483,0.0483,0.325,,,0.0,False,3.337,3.303,0.010293672419013,2026-01-15 09:36:00,304514.0,1.5734083987727463,2.0,11797.0,11797.0,0.0780439614719681,13,0.409,0.2727178326989428,False,1.0,2026-01-15 09:45:00,0.0492,0.0492,0.0186335403726707,opening_confirm_fail,1.0@0.049200,,,opening_primary,,,,,,,,,,,,,,,,,,,,,,159915_v1.1,0.325,5.182768204252937,,False,single_signal
2026-01-21,588000,call,2026-01-21 09:46:00,1.608,11832715.0,0.297,0.1596032461677186,6.610956853598167,strong_position_scaled,0.5,none,call,2026-01-20,1.56,1.5782,1.5638999999999998,1.49845,0.0021999999999999,0.0054999999999998,0.0090000000000001,0.0511217948717948,1.2099864924570822,10010689,588000C2602M01600,科创50购2月1600,0.062,,,,,,,,,,,,,,6720.0,6724.0,0.6462258186875713,35,0.577,0.271,,,2026-01-21 14:55:00,0.0644,0.0644,0.0387096774193549,eod,1.0@0.064400,,0.0757,strong_15m_fallback,2026-01-21 09:45:00,2.1927158256808417,1.15,True,1.8,False,1.2,0.9811320754717,position_2.5x,0.3636363636363643,0.1818181818181821,0.062,next_minute_open,False,0.8152745343703525,1.0,0.4866666666666669,0.893039338518428,0.65,1.0,,588000_v1.1,0.5,,7.206913131805144,False,single_signal
2026-03-09,588000,put,2026-03-09 09:46:00,1.436,7186670.0,0.278,0.1253381424706943,7.943236245368075,strong_daily_volume_reduced_position_scaled,0.35,none,put,2026-03-06,1.491,1.488,1.5213,1.5296,-0.0149999999999999,-0.0067999999999996,-0.0048999999999999,0.0279007377598927,0.7007074235521239,10009847,588000P2603M01450,科创50沽3月1450,0.0479,,,,,,,,,,,,,,31729.0,32197.0,0.5898004434589803,16,-0.411,0.283,,,2026-03-09 13:05:00,0.0392779999999999,0.0392779999999999,-0.18,soft_stop,1.0@0.039278,,0.0576,strong_15m_fallback,2026-03-09 09:45:00,1.6987679691018516,1.15,True,1.8,False,1.2,0.1818181818181812,"daily_volume_70pct,position_2.5x",0.2692307692307649,0.0,0.0478,next_minute_open,False,0.8516666666666667,1.0,0.4066666666666665,1.0,1.0,1.0,,588000_v1.1,0.35,,21.663371578276585,False,single_signal
2026-03-19,588000,put,2026-03-19 13:30:00,1.411,1499848.0,0.316,0.193868349864743,1.8070523146469204,strong_position_scaled,0.5,put,put,2026-03-18,1.445,1.4473999999999998,1.4647,1.49895,-0.0064000000000001,-0.0013999999999998,-0.0052499999999999,0.0356747404844292,0.987158068711907,10011167,588000P2604M01400,科创50沽4月1400,0.0488,,,,,,,,,,,,,,1866.0,24141.0,0.1501812121235184,34,-0.437,0.317,,,2026-03-19 14:55:00,0.048,0.048,-0.0163934426229508,eod,1.0@0.048000,,0.052,strong_15m_fallback,2026-03-19 13:30:00,1.1908173912130622,1.15,True,1.8,False,1.2,0.2000000000000177,position_2.5x,0.0740740740740737,0.4444444444444426,0.0488,signal_bar_close,False,0.8600000000000001,1.0,0.58,1.0,0.65,1.0,,588000_v1.1,0.5,,3.442004408851201,False,single_signal
2026-03-23,588000,put,2026-03-23 13:15:00,1.344,3036411.0,0.4145,0.3715058611361587,2.058307427206382,strong_reduced_position_scaled,0.375,put,put,2026-03-20,1.388,1.426,1.4472999999999998,1.4843,-0.0124000000000001,-0.0102999999999999,-0.0085500000000002,0.0420028818443804,1.2530920150831977,10011166,588000P2604M01350,科创50沽4月1350,0.0615,,,,,,,,,,,,,,6368.0,38807.0,0.2198262495499972,30,-0.521,0.416,,,2026-03-23 14:55:00,0.0783,0.0783,0.2731707317073171,eod,1.0@0.078300,,0.0826,strong_15m_fallback,2026-03-23 13:15:00,1.598789969197956,1.15,True,1.8,False,1.2,0.2142857142857222,position_2.5x,0.1290322580645166,0.0322580645161255,0.0615,signal_bar_close,False,0.8805029946369184,1.0,0.8599999999999999,0.7658483065179255,0.65,0.9466666666666668,,588000_v1.1,0.375,,3.8505751189234654,False,single_signal
2026-04-22,588000,call,2026-04-22 09:43:00,1.508,254070.0,0.289,0.1932773109243697,1.3667392883079157,normal,0.5,call,call,2026-04-21,1.504,1.502,1.4714,1.41165,0.0050000000000001,0.0161999999999999,0.00875,0.0600731382978722,0.8978530437857821,10011352,588000C2605M01550,科创50购5月1550,0.03439,0.0346,0.325,2026-04-22 09:45:00,0.034,0.175,True,1.507,1.495,0.0080267558528426,2026-04-22 09:40:00,254070.0,1.3667392883079157,3.0,3645.0,3645.0,0.0753911806543383,35,0.464,0.264,False,1.0,2026-04-22 14:55:00,0.0409,0.0409,0.1892992148880485,eod,1.0@0.040900,,,opening_primary,,,,,,,,,,,,,,,,,,,,,,588000_v1.1,0.5,2.8129442517270493,,True,opening_priority_stronger_opening
2026-04-28,588000,call,2026-04-28 09:40:00,1.587,546573.0,0.3085,0.2400960384153661,1.91244783021271,normal,0.325,call,call,2026-04-27,1.591,1.5326,1.5148,1.44605,0.0128000000000001,0.0142999999999999,0.01105,0.054399748585795,1.2624610597626598,10011353,588000C2605M01600,科创50购5月1600,0.0499,0.0499,0.325,,,0.0,True,1.586,1.576,0.0063451776649746,2026-04-28 09:36:00,546573.0,1.91244783021271,2.0,12285.0,12285.0,0.0089146422999775,29,0.426,0.282,False,1.0,2026-04-28 14:21:00,0.037425,0.037425,-0.25,soft_stop,1.0@0.037425,,,opening_primary,,,,,,,,,,,,,,,,,,,,,,588000_v1.1,0.325,3.111492630178159,,False,single_signal
2026-04-30,588000,call,2026-04-30 09:40:00,1.607,809042.0,0.3195,0.2665066026410564,1.9209028011909457,normal,0.325,call,call,2026-04-29,1.575,1.5546,1.533,1.46905,0.0091999999999998,0.0092999999999998,0.01255,0.0543174603174603,0.8770157864779974,10011405,588000C2605M01650,科创50购5月1650,0.0346,0.0346,0.325,,,0.0,True,1.607,1.59,0.010691823899371,2026-04-30 09:36:00,809042.0,1.9209028011909457,2.0,10417.0,10417.0,0.0441640378548893,27,0.539,0.285,False,1.0,2026-04-30 14:33:00,0.04671,0.06228,0.5750000000000001,tp2,0.5@0.046710;0.5@0.062280,2026-04-30 11:01:00,,opening_primary,,,,,,,,,,,,,,,,,,,,,,588000_v1.1,0.325,5.266142173882577,,False,single_signal
2026-05-06,588000,call,2026-05-06 09:46:00,1.767,10189755.0,0.3895,0.4345738295318127,4.067140403457256,strong_reduced_position_scaled,0.375,call,call,2026-04-30,1.654,1.5838,1.5486,1.4833,0.0291999999999998,0.0156,0.01425,0.0607617896009672,1.8887667277243485,10011419,588000C2605M01750,科创50购5月1750,0.0818,,,,,,,,,,,,,,29972.0,30278.0,0.820564516129032,21,0.508,0.342,,,2026-05-06 10:30:00,0.1227,0.10144,0.3267318663406683,trail_20%,0.333333@0.122700;0.666667@0.101440,2026-05-06 10:02:00,0.1268,strong_15m_fallback,2026-05-06 09:45:00,2.111566347533074,1.15,True,1.8,False,1.2,0.9508196721311456,position_2.5x,0.1466666666666683,0.0266666666666667,0.0817,next_minute_open,False,0.8683201561539095,0.8030873693703252,0.9466666666666668,0.8020927086955629,1.0,1.0,0.10144,588000_v1.1,0.375,,4.296796783251738,False,single_signal
2026-05-20,588000,call,2026-05-20 09:41:00,1.891,702466.0,0.455,0.5918367346938775,1.5348349005793982,normal,0.5,call,call,2026-05-19,1.871,1.8282,1.8008,1.6747,0.0109999999999998,0.0216999999999998,0.0186500000000002,0.0820416889363976,1.2165719201721397,10011558,588000C2606M01950,科创50购6月1950,0.065905,0.0665,0.325,2026-05-20 09:45:00,0.0648,0.175,True,1.886,1.856,0.0161637931034481,2026-05-20 09:38:00,702466.0,1.5348349005793982,3.0,3899.0,3899.0,0.065532223026792,35,0.495,0.344,False,1.0,2026-05-20 14:55:00,0.0768,0.0768,0.1653137091267731,eod,1.0@0.076800,,,opening_primary,,,,,,,,,,,,,,,,,,,,,,588000_v1.1,0.5,6.361218918183776,,False,single_signal
2026-05-25,588000,call,2026-05-25 09:43:00,1.916,316917.0,0.4765,0.6434573829531813,1.3623830494077025,normal,0.5,call,call,2026-05-22,1.887,1.8704,1.8446,1.7321000000000002,0.02,0.016,0.0191500000000002,0.0732909379968202,0.9486533231812242,10011603,588000C2606M02000,科创50购6月2000,0.058685,0.059,0.325,2026-05-25 09:45:00,0.0581,0.175,True,1.891,1.867,0.0128548473486877,2026-05-25 09:40:00,316917.0,1.3623830494077025,3.0,11229.0,11229.0,0.1900999302811989,30,0.526,0.368,False,1.0,2026-05-25 14:55:00,0.07922475,0.0852,0.4009095169123285,tp1_eod,0.5@0.079225;0.5@0.085200,2026-05-25 13:22:00,,opening_primary,,,,,,,,,,,,,,,,,,,,,,588000_v1.1,0.5,4.4905708027117095,,False,single_signal
