trade_date,underlying_code,direction,entry_time,etf_close,etf_volume_15m,market_iv,iv_rank_252,etf_volume_ratio,signal_strength,position_pct,daily_direction,daily_allowed_direction,daily_ref_date,daily_ref_close,daily_ref_ma5,daily_ref_ma10,daily_ref_ma20,daily_ref_ma5_slope,daily_ref_ma10_slope,daily_ref_ma20_slope,daily_ref_ma_cluster,daily_ref_volume_ratio20,option_code,contract_id,contract_symbol,entry_price,first_entry_price,first_position_pct,add_time,add_price,add_position_pct,opening_confirm_pass,opening_high,opening_low,opening_amp,long_exhaustion_score,long_exhaustion_action,long_exhaustion_price,long_exhaustion_2d_return,breakout_time,breakout_volume,breakout_vol_ratio,stand_count,entry_option_volume_15m,cum_volume,option_trend_strength,dte,delta,implied_volatility,edge_dte_candidate,dte_position_factor,exit_time,exit_price_1,exit_price_2,return,exit_reason,exit_legs,tp1_time,high_water,strategy_leg,signal_time,etf_intraday_volume_progress_ratio,fallback_progress_min,late_trend_acceleration,strong_volume_min,cluster_acceleration_exemption,cluster_exemption_direction,cluster_exemption_volume_mult,high_iv_crash_put,etf_vol_threshold,etf_close_pos,risk_flags,daily_ref_upper_shadow_ratio,daily_ref_lower_shadow_ratio,signal_option_price,entry_price_source,high_iv_crash_put_candidate,selection_score,selection_liquidity_score,selection_delta_score,selection_trend_score,selection_dte_score,selection_iv_score,trailing_stop
2026-01-06,588000,call,2026-01-06 09:40:00,1.493,770147.0,0.3095,0.1821460775473399,1.6655291327623174,normal,0.325,call,call,2026-01-05,1.479,1.433,1.4205,1.409,0.0114,0.0102999999999999,0.00425,0.0162271805273833,1.6745404774719486,10010501,588000C2601M01500,科创50购1月1500,0.0465,0.0465,0.325,,,0.0,True,1.484,1.476,0.005420054200542,0.0,normal,False,0.0321004884856943,2026-01-06 09:37:00,770147.0,1.6655291327623174,3.0,19751.0,19751.0,0.0877993158494867,22,0.542,0.301,False,1.0,2026-01-06 14:55:00,0.062775,0.0479,0.1900537634408601,tp1_eod,0.5@0.062775;0.5@0.047900,2026-01-06 09:53:00,,opening_primary,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-08,588000,call,2026-01-08 09:46:00,1.536,6692897.0,0.311,0.1848512173128945,3.9690744270135103,strong_position_scaled,0.5,call,call,2026-01-07,1.52,1.4708,1.4445,1.41955,0.0205999999999999,0.0115,0.0050000000000001,0.033717105263158,1.3565716402724008,10010502,588000C2601M01550,科创50购1月1550,0.0388,,,,,,,,,,,,,,,,,,28580.0,28615.0,0.2581840642371835,20,0.454,0.305,,,2026-01-08 10:31:00,0.0582,0.04728,0.3123711340206186,trail_20%,0.333333@0.058200;0.666667@0.047280,2026-01-08 10:02:00,0.0591,strong_15m_fallback,2026-01-08 09:45:00,1.5983187042811398,1.15,True,1.8,False,put,3.0,False,1.2,0.7857142857142857,position_2.5x,0.3199999999999985,0.5599999999999975,0.0388,next_minute_open,False,0.8849191807508029,0.903964618543674,0.6933333333333334,1.0,1.0,1.0,0.04728
2026-01-21,588000,call,2026-01-21 09:46:00,1.608,11832715.0,0.297,0.1596032461677186,6.610956853598167,strong_position_scaled,0.5,none,call,2026-01-20,1.56,1.5782,1.5638999999999998,1.49845,0.0021999999999999,0.0054999999999998,0.0090000000000001,0.0511217948717948,1.2099864924570822,10010689,588000C2602M01600,科创50购2月1600,0.062,,,,,,,,,,,,,,,,,,6720.0,6724.0,0.6462258186875713,35,0.577,0.271,,,2026-01-21 14:55:00,0.0644,0.0644,0.0387096774193549,eod,1.0@0.064400,,0.0757,strong_15m_fallback,2026-01-21 09:45:00,2.1927158256808417,1.15,True,1.8,False,put,3.0,False,1.2,0.9811320754717,position_2.5x,0.3636363636363643,0.1818181818181821,0.062,next_minute_open,False,0.8152745343703525,1.0,0.4866666666666669,0.893039338518428,0.65,1.0,
2026-03-03,588000,put,2026-03-03 10:00:00,1.507,4252183.0,0.3105,0.1839495040577096,3.1654941740142872,strong_cluster_position_scaled_cluster_acceleration_exemption,0.25,none,put,2026-03-02,1.544,1.5538,1.5494,1.55875,-0.0008000000000001,0.0044999999999999,-0.0045499999999998,0.0060556994818654,0.8664606822673308,10009848,588000P2603M01500,科创50沽3月1500,0.0373,,,,,,,,,,,,,,,,,,21306.0,29650.0,0.7054036120845169,22,-0.602,0.31,,,2026-03-03 14:55:00,0.05595,0.0655,0.6706881143878463,tp1_eod,0.333333@0.055950;0.666667@0.065500,2026-03-03 13:54:00,0.0655,strong_15m_fallback,2026-03-03 10:00:00,1.1549985843191806,1.15,True,1.8,True,put,3.0,False,1.2,0.0,"ma_cluster,position_2.5x,cluster_acceleration_exemption_cap",0.7241379310344817,0.1379310344827591,0.0373,signal_bar_close,False,0.7932216204804174,1.0,0.32,0.8161081024020869,1.0,1.0,0.0524
2026-03-09,588000,put,2026-03-09 09:46:00,1.436,7186670.0,0.278,0.1253381424706943,7.943236245368075,strong_daily_volume_reduced_position_scaled,0.35,none,put,2026-03-06,1.491,1.488,1.5213,1.5296,-0.0149999999999999,-0.0067999999999996,-0.0048999999999999,0.0279007377598927,0.7007074235521239,10009847,588000P2603M01450,科创50沽3月1450,0.0479,,,,,,,,,,,,,,,,,,31729.0,32197.0,0.5898004434589803,16,-0.411,0.283,,,2026-03-09 13:05:00,0.0392779999999999,0.0392779999999999,-0.18,soft_stop,1.0@0.039278,,0.0576,strong_15m_fallback,2026-03-09 09:45:00,1.6987679691018516,1.15,True,1.8,False,put,3.0,False,1.2,0.1818181818181812,"daily_volume_70pct,position_2.5x",0.2692307692307649,0.0,0.0478,next_minute_open,False,0.8516666666666667,1.0,0.4066666666666665,1.0,1.0,1.0,
2026-03-19,588000,put,2026-03-19 13:30:00,1.411,1499848.0,0.316,0.193868349864743,1.8070523146469204,strong_position_scaled,0.5,put,put,2026-03-18,1.445,1.4473999999999998,1.4647,1.49895,-0.0064000000000001,-0.0013999999999998,-0.0052499999999999,0.0356747404844292,0.987158068711907,10011167,588000P2604M01400,科创50沽4月1400,0.0488,,,,,,,,,,,,,,,,,,1866.0,24141.0,0.1501812121235184,34,-0.437,0.317,,,2026-03-19 14:55:00,0.048,0.048,-0.0163934426229508,eod,1.0@0.048000,,0.052,strong_15m_fallback,2026-03-19 13:30:00,1.1908173912130622,1.15,True,1.8,False,put,3.0,False,1.2,0.2000000000000177,position_2.5x,0.0740740740740737,0.4444444444444426,0.0488,signal_bar_close,False,0.8600000000000001,1.0,0.58,1.0,0.65,1.0,
2026-03-23,588000,put,2026-03-23 13:15:00,1.344,3036411.0,0.4145,0.3715058611361587,2.058307427206382,strong_reduced_position_scaled,0.375,put,put,2026-03-20,1.388,1.426,1.4472999999999998,1.4843,-0.0124000000000001,-0.0102999999999999,-0.0085500000000002,0.0420028818443804,1.2530920150831977,10011166,588000P2604M01350,科创50沽4月1350,0.0615,,,,,,,,,,,,,,,,,,6368.0,38807.0,0.2198262495499972,30,-0.521,0.416,,,2026-03-23 14:55:00,0.0783,0.0783,0.2731707317073171,eod,1.0@0.078300,,0.0826,strong_15m_fallback,2026-03-23 13:15:00,1.598789969197956,1.15,True,1.8,False,put,3.0,False,1.2,0.2142857142857222,position_2.5x,0.1290322580645166,0.0322580645161255,0.0615,signal_bar_close,False,0.8805029946369184,1.0,0.8599999999999999,0.7658483065179255,0.65,0.9466666666666668,
2026-04-22,588000,call,2026-04-22 09:43:00,1.508,254070.0,0.289,0.1932773109243697,1.3667392883079157,normal,0.5,call,call,2026-04-21,1.504,1.502,1.4714,1.41165,0.0050000000000001,0.0161999999999999,0.00875,0.0600731382978722,0.8978530437857821,10011352,588000C2605M01550,科创50购5月1550,0.03439,0.0346,0.325,2026-04-22 09:45:00,0.034,0.175,True,1.507,1.495,0.0080267558528426,0.0,normal,False,0.0033355570380253,2026-04-22 09:40:00,254070.0,1.3667392883079157,3.0,3645.0,3645.0,0.0753911806543383,35,0.464,0.264,False,1.0,2026-04-22 14:55:00,0.0409,0.0409,0.1892992148880485,eod,1.0@0.040900,,,opening_primary,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-30,588000,call,2026-04-30 09:40:00,1.607,809042.0,0.3195,0.2665066026410564,1.9209028011909457,normal,0.325,call,call,2026-04-29,1.575,1.5546,1.533,1.46905,0.0091999999999998,0.0092999999999998,0.01255,0.0543174603174603,0.8770157864779974,10011405,588000C2605M01650,科创50购5月1650,0.0346,0.0346,0.325,,,0.0,True,1.607,1.59,0.010691823899371,0.0,normal,False,-0.0100565681961031,2026-04-30 09:36:00,809042.0,1.9209028011909457,2.0,10417.0,10417.0,0.0441640378548893,27,0.539,0.285,False,1.0,2026-04-30 14:55:00,0.04671,0.0559,0.4828034682080925,tp1_eod,0.5@0.046710;0.5@0.055900,2026-04-30 11:01:00,,opening_primary,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,588000,call,2026-05-06 09:46:00,1.767,10189755.0,0.3895,0.4345738295318127,4.067140403457256,strong_reduced_position_scaled,0.375,call,call,2026-04-30,1.654,1.5838,1.5486,1.4833,0.0291999999999998,0.0156,0.01425,0.0607617896009672,1.8887667277243485,10011419,588000C2605M01750,科创50购5月1750,0.0818,,,,,,,,,,,,,,,,,,29972.0,30278.0,0.820564516129032,21,0.508,0.342,,,2026-05-06 10:30:00,0.1227,0.10144,0.3267318663406683,trail_20%,0.333333@0.122700;0.666667@0.101440,2026-05-06 10:02:00,0.1268,strong_15m_fallback,2026-05-06 09:45:00,2.111566347533074,1.15,True,1.8,False,put,3.0,False,1.2,0.9508196721311456,position_2.5x,0.1466666666666683,0.0266666666666667,0.0817,next_minute_open,False,0.8683201561539095,0.8030873693703252,0.9466666666666668,0.8020927086955629,1.0,1.0,0.10144
2026-05-20,588000,call,2026-05-20 09:41:00,1.891,702466.0,0.455,0.5918367346938775,1.5348349005793982,normal,0.5,call,call,2026-05-19,1.871,1.8282,1.8008,1.6747,0.0109999999999998,0.0216999999999998,0.0186500000000002,0.0820416889363976,1.2165719201721397,10011558,588000C2606M01950,科创50购6月1950,0.065905,0.0665,0.325,2026-05-20 09:45:00,0.0648,0.175,True,1.886,1.856,0.0161637931034481,0.0,normal,False,0.047006155567991,2026-05-20 09:38:00,702466.0,1.5348349005793982,3.0,3899.0,3899.0,0.065532223026792,35,0.495,0.344,False,1.0,2026-05-20 14:55:00,0.0768,0.0768,0.1653137091267731,eod,1.0@0.076800,,,opening_primary,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25,588000,call,2026-05-25 09:43:00,1.916,316917.0,0.4765,0.6434573829531813,1.3623830494077025,normal,0.5,call,call,2026-05-22,1.887,1.8704,1.8446,1.7321000000000002,0.02,0.016,0.0191500000000002,0.0732909379968202,0.9486533231812242,10011603,588000C2606M02000,科创50购6月2000,0.058685,0.059,0.325,2026-05-25 09:45:00,0.0581,0.175,True,1.891,1.867,0.0128548473486877,0.0,normal,False,-0.0227861211807354,2026-05-25 09:40:00,316917.0,1.3623830494077025,3.0,11229.0,11229.0,0.1900999302811989,30,0.526,0.368,False,1.0,2026-05-25 14:55:00,0.07922475,0.0852,0.4009095169123285,tp1_eod,0.5@0.079225;0.5@0.085200,2026-05-25 13:22:00,,opening_primary,,,,,,,,,,,,,,,,,,,,,,,,
